Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2014,2.9,3.1,3.1,3.2,3.3,3.5,3.4,3.7,3.4,3.5,3.3,3.5
2015,3.7,3.7,3.6,3.8,3.8,3.6,4.1,3.7,3.7,3.9,3.8,3.9
2016,4.0,3.9,4.1,3.9,3.9,3.8,4.0,3.8,3.9,3.7,4.0,3.9
2017,3.7,3.9,3.8,4.0,3.8,4.1,4.1,4.1,4.1,4.2,4.1,4.1
2018,4.3,4.2,4.4,4.4,4.5,4.6,4.6,4.6,4.7,4.7,4.8,4.8
2019,4.8,4.5,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.6,4.3,4.2
2020,4.5,4.4,3.8,3.4,4.0,4.3,4.5,4.3,4.4,4.6,4.6,4.5
2021,4.8,5.2,5.6,6.0,6.4,6.6,7.0,6.9,6.9,7.1,7.0,7.1
2022,7.0,7.2,7.4,7.2,7.0,6.9,7.0,6.2,6.6,6.4,6.5,6.7
2023,6.3,6.0,5.8,6.0,5.6,5.5,5.3,5.6,5.6,5.2,5.4,5.3
2024,5.3,5.3,5.0,4.8,4.9,4.8,4.6,4.8,4.9,5.2,4.9,5.7